issuingCompany,tradingName,cnpj,api_prefix
BSCS,BRAZILIAN SC,3767538000114,BSCS
BRBC,BRBCFI,33136888000143,BRBC
BSLI,BRB BANCO,208000100,BSLI
BRBI,BR PARTNERS,10739356000103,BRBI
BTEN,BREITENER SA,4816991000136,BTEN
BTNR,BREITENERHOL,40659026000160,BTNR
BRER,BRENERGIA,21148231000117,BRER
BRND,BRENNAND,10532985000150,BRND
BHFI,BRES HENRY F,7951410000167,BHFI
BRMU,BRESCO MURIC,24787836000146,BRMU
BRFS,BRF SA,1838723000127,BRFS
BRTE,BRILHANTEENE,10552848000187,BRTE
BRNX,BRINOX,92038108000191,BRNX
BRST,BRISANET,4601397000128,BRST
BREL,BRITANIA,76492701000157,BREL
BRKS,BRKNE/N/CSA,34480751000174,BRKS
CCHR,BRKITAPEMIRI,2628150000170,CCHR
ODBM,BRKAMBIENTAL,19246473000100,ODBM
ABRK,BRK,5380441000180,ABRK
RMSA,BRK AMBIENTA,39580673000101,RMSA
BKRC,BRK AMBIRC,8630227000122,BKRC
SROP,BRKRIODASOST,9356040000145,SROP
ODBH,BRKSUMARE,21480839000144,ODBH
BRKU,BRKURUGUAIAN,13015402000101,BRKU
BRKB,BRKAMBIENTA,11609081000148,BRKB
BRKC,BRKAMBCACADO,31444659000160,BRKC
FOZG,BRKAMBGOIAS,18123402000149,FOZG
